々《々》 | #498 n>の島《しま》々《々》、沖縄《おきなわ
豚肉《ぶたにく》 | #036 pork = 豚肉《ぶたにく》、chicken
象徴《しょうちょう》 | #530 象徴《しょうちょう》
豪華《ごうか》 | #080 豪華《ごうか》な
貧富《ひんぷ》 | #507 貧富《ひんぷ》の差《さ》
貨物《かもつ》 | #206 貨物《かもつ》
販売店《はんばいてん》 | #312 販売店《はんばいてん》
責任《せきにん》 | #430 ility = 責任《せきにん》。be resp
買い出《かいだ》 | #112 ｜買い出《かいだ》し
貸し出《かしだ》 | #531 ドをかざすだけで｜貸し出《かしだ》しが終《お》わる
資料《しりょう》 | #219 《てわ》けして、資料《しりょう》作《つく》りと練
資本《しほん》 | #067 《おおもじ》」「資本《しほん》」の意味《いみ》
資源《しげん》 | #429 天然《てんねん》資源《しげん》。
賛美歌《さんびか》 | #265 賛美歌《さんびか》
質素《しっそ》 | #311 質素《しっそ》な
購入《こうにゅう》 | #109 略《りゃく》す。購入《こうにゅう》する集合《しゅう
赤丸《あかまる》 | #190 15日《にち》に赤丸《あかまる》をつけて待《ま》
赤色《せきしょく》 | #204 鮮《あざ》やかな赤色《せきしょく》をしていた。
赤面《せきめん》 | #045 赤面《せきめん》する
起源《きげん》 | #356 起源《きげん》
起立《きりつ》 | #024 起立《きりつ》
足音《あしおと》 | #478 足音《あしおと》
跡《あと》 | #605 《かたなきず》の跡《あと》まで残《のこ》っ
跡継《あとつ》 | #229 びょういん》で「跡継《あとつ》ぎだ」と泣《な》
路《みち》 | #386 通学《つうがく》路《みち》を彩《さい》って
路線図《ろせんず》 | #004 路線図《ろせんず》
路面電車《ろめんでんしゃ》 | #518 路面電車《ろめんでんしゃ》
車両《しゃりょう》 | #308 車両《しゃりょう》
車用《くるまよう》 | #154 《しきちない》の車用《くるまよう》通路《つうろ》。
車種《しゃしゅ》 | #073 。全《ぜん》20車種《しゃしゅ》の写真《しゃしん
軒下《のきした》 | #338 関《げんかん》の軒下《のきした》にツバメが<ne
転任《てんにん》 | #182 転任《てんにん》する先生《せんせ
転換《てんかん》 | #575 転換《てんかん》
転校先《てんこうさき》 | #185 転校先《てんこうさき》で、幼稚園《よう
転校初日《てんこうしょにち》 | #278 転校初日《てんこうしょにち》、担任《たんにん
転機《てんき》 | #575 point = 転機《てんき》。
軽快《けいかい》 | #396 《はな》れない、軽快《けいかい》なメロディーだっ
軽油《けいゆ》 | #206 ガソリン・軽油《けいゆ》・薪《たきぎ》な
軽石《かるいし》 | #152 軽石《かるいし》
輪切《わぎ》 | #299 はちみつに輪切《わぎ》りの<lemon
輸入《ゆにゅう》 | #122 輸入《ゆにゅう》する
輸送《ゆそう》 | #312 輸送《ゆそう》会社《かいしゃ》
轟音《ごうおん》 | #220 端《せんたん》が轟音《ごうおん》とともに崩《くず
農園《のうえん》 | #044 農園《のうえん》で<bluebe
農地《のうち》 | #615 農地《のうち》
農業用《のうぎょうよう》 | #022 ん》前《まえ》に農業用《のうぎょうよう》水《みず》のため
辺《へん》 | #504 《おりがみ》は1辺《へん》15センチの<s
返信《へんしん》 | #427 》い。メールの「返信《へんしん》」ボタンも re
返却《へんきゃく》 | #495 《としょしつ》の返却《へんきゃく》本《ほん》は、ラ
追い詰《おいつ》 | #085 いて》のキングを｜追い詰《おいつ》めたら勝《か》ち
追伸《ついしん》 | #477 追伸《ついしん》
追加《ついか》 | #270 じ》だったので、追加《ついか》の支払《しはら》
追試《ついし》 | #416 いかい》しないと追試《ついし》になる。
退室《たいしつ》 | #024 退室《たいしつ》
退部《たいぶ》 | #037 退部《たいぶ》する
送別《そうべつ》 | #182 送別《そうべつ》
送料《そうりょう》 | #270 送料《そうりょう》<includi
逆《ぎゃく》 | #592 un(逆《ぎゃく》)+ plug(
逆転劇《ぎゃくてんげき》 | #575 試合《しあい》の逆転劇《ぎゃくてんげき》が、チームにとっ
透明《とうめい》 | #098 《ちが》えるほど透明《とうめい》になった。
通信手段《つうしんしゅだん》 | #565 通信手段《つうしんしゅだん》
通知《つうち》 | #102 通知《つうち》音《おと》
通行人《つうこうにん》 | #619 通行人《つうこうにん》
通貨記号《つうかきごう》 | #400 通貨記号《つうかきごう》は£。重《おも》
速球《そっきゅう》 | #544 》に140キロの速球《そっきゅう》を<threw>
造《つく》 | #524 《ちか》づけない造《つく》りになっている。
連休《れんきゅう》 | #562 連休《れんきゅう》初日《しょにち》
連勝《れんしょう》 | #575 り、そこから10連勝《れんしょう》が始《はじ》まっ
連絡帳《れんらくちょう》 | #349 た》6時《じ》、連絡帳《れんらくちょう》に1日《にち》の
週刊誌《しゅうかんし》 | #309 週刊誌《しゅうかんし》・月刊《げっかん
進化《しんか》 | #356 独自《どくじ》の進化《しんか》を遂《と》げた。
進歩《しんぽ》 | #536 nology>の進歩《しんぽ》で、スマホをかざ
運動靴《うんどうぐつ》 | #486 《おと》のしない運動靴《うんどうぐつ》が由来《ゆらい》
運命《うんめい》 | #185 運命《うんめい》
運賃《うんちん》 | #453 運賃《うんちん》
運転席《うんてんせき》 | #105 運転席《うんてんせき》
過酷《かこく》 | #557 過酷《かこく》な
道中《どうちゅう》 | #182 良《よ》く)= 道中《どうちゅう》ご無事《ぶじ》で
道具箱《どうぐばこ》 | #308 道具箱《どうぐばこ》
道徳《どうとく》 | #242 》えるか」という道徳《どうとく》の議論《ぎろん》
道端《みちばた》 | #130 道端《みちばた》で動《うご》かな
道路地図《どうろちず》 | #314 d map = 道路地図《どうろちず》。
遠隔操作《えんかくそうさ》 | #111  = リモコン(遠隔操作《えんかくそうさ》)。
避難場所《ひなんばしょ》 | #171  site = 避難場所《ひなんばしょ》。
避難訓練《ひなんくんれん》 | #153 drill = 避難訓練《ひなんくんれん》。工具《こうぐ》
郊外《こうがい》 | #517 郊外《こうがい》
部分的《ぶぶんてき》 | #378 部分的《ぶぶんてき》に
部室《ぶしつ》 | #037 後《ほうかご》に部室《ぶしつ》で絵《え》を描《
郵便番号《ゆうびんばんごう》 | #002 どうふう》した。郵便番号《ゆうびんばんごう》から番地《ばんち
都《みやこ》 | #373 《げいじゅつ》の都《みやこ》と呼《よ》ばれて
都心《としん》 | #517 父母《そふぼ》は都心《としん》の喧騒《けんそう
都道《とどう》 | #404 ぽん》には47の都道《とどう》府《ふ》<pre
都道府県《とどうふけん》 | #567 ing>で、47都道府県《とどうふけん》をすべて回《まわ
配信《はいしん》 | #514 画《どうが》の「配信《はいしん》」も strea
配置《はいち》 | #209 の4点《てん》。配置《はいち》を決《き》めるだ
配達員《はいたついん》 | #084 配達員《はいたついん》
酸《す》 | #299 黄色《きいろ》く酸《す》っぱい柑橘類《か
酸味《さんみ》 | #624 させた、ほどよい酸味《さんみ》がくせになる。
酸素《さんそ》 | #359 酸素《さんそ》
里《さと》 | #263 クマが里《さと》に下《くだ》りた
野口《のぐち》 | #218 ゅと》はアクラ。野口《のぐち》英世《ひでよ》が
金婚式《きんこんしき》 | #076 父母《そふぼ》の金婚式《きんこんしき》を<celebr
金貨《きんか》 | #568 《うばいあ》い、金貨《きんか》の眠《ねむ》る島
金閣寺《きんかくじ》 | #475 きよみずでら》と金閣寺《きんかくじ》を1日《にち》で
金額《きんがく》 | #556 《たし》かにその金額《きんがく》になった。
釧路《くしろ》 | #315 釧路《くしろ》の<marsh>
鉄棒《てつぼう》 | #038 鉄棒《てつぼう》
銀《ぎん》 | #202 んえきじだい》は銀《ぎん》メダルを獲得《か
銃《じゅう》 | #237 銃《じゅう》
銅《どう》 | #222 、bronze(銅《どう》)と並《なら》ぶ
銅色《どうしょく》 | #320 にかけてもらった銅色《どうしょく》の円盤《えんばん
銭箱《ぜにばこ》 | #402 ay>した。さい銭箱《ぜにばこ》の前《まえ》には
鋏《はさみ》 | #253 眺《なが》めては鋏《はさみ》を入《い》れてい
錠《じょう》 | #305 しまい、ナンバー錠《じょう》を回《まわ》して
錠剤《じょうざい》 | #526 錠剤《じょうざい》が苦手《にがて》
鍵盤《けんばん》 | #289 eyboard(鍵盤《けんばん》)、key po
鍵穴《かぎあな》 | #290 鍵穴《かぎあな》
鏡台《きょうだい》 | #288 道具《どうぐ》の鏡台《きょうだい》を60年間《ねん
長《ちょう》 | #068 チームの長《ちょう》。船長《せんちょ
長方形《ちょうほうけい》 | #504 長方形《ちょうほうけい》
長期的《ちょうきてき》 | #096 と違《ちが》い、長期的《ちょうきてき》な傾向《けいこう
長椅子《ながいす》 | #038 すうにん》がけの長椅子《ながいす》。野球《やきゅう
長男《ちょうなん》 | #229 長男《ちょうなん》
長距離《ちょうきょり》 | #206 長距離《ちょうきょり》トラックは、出発
閉《へい》 | #060 エレベーターの「閉《へい》」の<butto
閉店間際《へいてんまぎわ》 | #080 閉店間際《へいてんまぎわ》のスーパーでは、
開《かい》 | #060 》したつもりが「開《かい》」で、ドアの前《
開始《かいし》 | #575 開始《かいし》
開店《かいてん》 | #029 開店《かいてん》記念《きねん》で
開校《かいこう》 | #382 raph>には、開校《かいこう》当時《とうじ》の
開演前《かいえんまえ》 | #225 が並《なら》び、開演前《かいえんまえ》から行列《ぎょう
開発《かいはつ》 | #238 森《もり》だが、開発《かいはつ》と山火《やまび》
開館《かいかん》 | #174 見《み》ようと、開館《かいかん》前《ぜん》から長
闇《やみ》 | #262 は、夜《よる》の闇《やみ》にまぎれてシマウ
防《ふせ》 | #587 日差《ひざ》しを防《ふせ》ぐ道具《どうぐ》
防波堤《ぼうはてい》 | #607 る<wave>が防波堤《ぼうはてい》に打《う》ちつけ
防災《ぼうさい》 | #227 《きょういく》と防災《ぼうさい》に使《つか》うお
限定版《げんていばん》 | #301 ition = 限定版《げんていばん》。
陛下《へいか》 | #311 majesty(陛下《へいか》・威厳《いげん》
陰《いん》 | #450 ドアの陰《いん》から「わっ!」と
陰気《いんき》 | #081 陰気《いんき》な
階上《かいじょう》 | #149 pstairs(階上《かいじょう》へ)の対《つい》
階下《かいか》 | #149 階下《かいか》で
隙間《すきま》 | #360 げ》用《よう》の隙間《すきま》も空《そら》けて
障壁《しょうへき》 | #033 -free = 障壁《しょうへき》のない(バリアフ
雄大《ゆうだい》 | #311 雄大《ゆうだい》な
集合場所《しゅうごうばしょ》 | #353 》がってしまい、集合場所《しゅうごうばしょ》からどんどん遠《
集計《しゅうけい》 | #114 ひ》のレシートを集計《しゅうけい》して会計《かいけ
雌牛《めうし》 | #119 にゅうぎゅう》・雌牛《めうし》。cowboy 
雑《ざつ》 | #480 雑《ざつ》な
離《り》 | #517 離《り》島《しま》
難問《なんもん》 | #482 》が出《だ》した難問《なんもん》にも、別解《べっ
雪解《ゆきど》 | #321 い》になること。雪解《ゆきど》け = snow
雲海《うんかい》 | #311 雲海《うんかい》の上《うえ》に頭
電卓《でんたく》 | #314 電卓《でんたく》
電柱《でんちゅう》 | #327 の道《みち》で、電柱《でんちゅう》の影《かげ》を人
電池式《でんちしき》 | #417 》の夜《よる》、電池式《でんちしき》の<radio>
電灯《でんとう》 | #521 電灯《でんとう》
震《ふる》 | #354 体《ぜんたい》が震《ふる》えるようだった。
青森《あおもり》 | #019 青森《あおもり》から届《とど》い
青白《あおじろ》 | #220 acier>は、青白《あおじろ》い氷《こおり》の
非公式《ひこうしき》 | #352 非公式《ひこうしき》の
非常口《ひじょうぐち》 | #163  exit = 非常口《ひじょうぐち》。
非常識《ひじょうしき》 | #435 》ってしまうほど非常識《ひじょうしき》なこと。
面《めん》 | #339 paper>を1面《めん》から順《じゅん》
面倒《めんどう》 | #181 面倒《めんどう》な
面影《おもかげ》 | #422 ize>した。「面影《おもかげ》は変《か》わらな
革靴《かわぐつ》 | #468 》き上《あ》げた革靴《かわぐつ》は<shiny>
音声《おんせい》 | #417 音声《おんせい》放送《ほうそう》
音量《おんりょう》 | #053 音量《おんりょう》
預言《よげん》 | #221 預言《よげん》者《もの》
頑丈《がんじょう》 | #557 《むずか》しい・頑丈《がんじょう》な。
頬張《ほおば》 | #319 タレにくぐらせて頬張《ほおば》る。
頭上《ずじょう》 | #020 、ジンベエザメが頭上《ずじょう》をゆっくり横切《
頼《たの》 | #090 《ひら》けると、頼《たの》んでいた本《ほん
題名《だいめい》 | #549 題名《だいめい》
額《ひたい》 | #368 ale>になり、額《ひたい》に汗《あせ》を浮
顔写真《かおじゃしん》 | #375 審査《しんさ》で顔写真《かおじゃしん》のページを開《ひ
顔色《かおいろ》 | #368 》が引《ひ》いた顔色《かおいろ》。pale bl
顔見知《かおみし》 | #103 《としよ》りまで顔見知《かおみし》りが多《おお》い
願書《がんしょ》 | #370 願書《がんしょ》
願望《がんぼう》 | #178 願望《がんぼう》
類《るい》 | #276 ほ乳《ちち》類《るい》
顧《かえり》 | #050 危険《きけん》を顧《かえり》みない<brav
風合《ふうあい》 | #620 《まる》くなった風合《ふうあい》いがかえって味《
風呂上《ふろあ》 | #100 風呂上《ふろあ》がりに冷《ひ》え
風速《ふうそく》 | #538 風速《ふうそく》
飛来《ひらい》 | #213 》を組《く》んで飛来《ひらい》し、一斉《いっせ
飛沫《しぶき》 | #607 け、白《しろ》い飛沫《しぶき》が道路《どうろ》
飛行便《ひこうびん》 | #196 飛行便《ひこうびん》
食べ方《たべかた》 | #449 伝《じきでん》の｜食べ方《たべかた》だ。
食器類《しょっきるい》 | #604 eware = 食器類《しょっきるい》。
食感《しょっかん》 | #120 と、パリッとした食感《しょっかん》と相性《あいしょ
食用《しょくよう》 | #319 音《どうおん》。食用《しょくよう》の肉《にく》。
食糧難《しょくりょうなん》 | #520 戦後《せんご》の食糧難《しょくりょうなん》で<suffer
飢《う》 | #507 starve(飢《う》える)の名詞《め
飢餓《きが》 | #507 飢餓《きが》
飲み込《のみこ》 | #526 ｜飲み込《のみこ》む
飴《あめ》 | #161 たす》かるわ」と飴《あめ》を1つ握《にぎ》
飼い主《かいぬし》 | #226 張《よくば》りな｜飼い主《かいぬし》に裂《さ》かれて
餅《もち》 | #489 つきたての餅《もち》は<soft>で
香《こー》 | #083 み紙《かみ》まで香《こー》ばしい匂《にお》
香草《こうそう》 | #540 酸《す》っぱさと香草《こうそう》の香《かお》りが
馬上《ばじょう》 | #393 馬上《ばじょう》競技《きょうぎ》
駄菓子《だがし》 | #301 この駄菓子《だがし》は地域《ちいき》
駄菓子屋《だがしや》 | #017 》通《かよ》った駄菓子屋《だがしや》に、中学生《ちゅ
駅員《えきいん》 | #471 》を見《み》て、駅員《えきいん》が「危《あぶ》な
駅舎《えきしゃ》 | #258 駅舎《えきしゃ》
駒《こま》 | #085 》と黒《くろ》の駒《こま》を交互《こうご》
騎士《きし》 | #293 騎士《きし》
騒音《そうおん》 | #453 騒音《そうおん》
驚嘆《きょうたん》 | #011 驚嘆《きょうたん》させる
骨格《こっかく》 | #139 nosaur>の骨格《こっかく》標本《ひょうほん
骨組《ほねぐ》 | #056 か月《かげつ》で骨組《ほねぐ》みが完成《かんせ
高々《たかだか》 | #569 ャプテンがそれを高々《たかだか》と掲《かか》げた
高原《こうげん》 | #315 高原《こうげん》
高台《たかだい》 | #171 たら、ためらわず高台《たかだい》への<evacu
高校生《こうこうせい》 | #050 》け出《だ》した高校生《こうこうせい》のニュースが流《
魅力的《みりょくてき》 | #025 ctive = 魅力的《みりょくてき》な。attrac
魔法使《まほうつか》 | #310 師《てじなし》・魔法使《まほうつか》い。
魚介《ぎょかい》 | #319 魚介《ぎょかい》
魚類《ぎょるい》 | #260 魚類《ぎょるい》
鮮烈《せんれつ》 | #365 黄色《きいろ》は鮮烈《せんれつ》だった。
鯉《こい》 | #394 <pond>には鯉《こい》と亀《かめ》がい
鳩《はと》 | #310 の箱《はこ》から鳩《はと》を出《だ》してみ
鶏肉《とりにく》 | #036 icken = 鶏肉《とりにく》と区別《くべつ》
黄砂《こうさ》 | #483 黄砂《こうさ》
黄緑《きみどり》 | #386 黄緑《きみどり》
黄金《おうごん》 | #367 《おおひろま》や黄金《おうごん》の門《もん》があ
黙々《もくもく》 | #603 勢《おおぜい》が黙々《もくもく》と周回《しゅうか
黙《だま》 | #140 黙《だま》り込《こ》む
鼻歌《はなうた》 | #081 》の日《ひ》でも鼻歌《はなうた》が出《で》る<c
